==2476== Lackey, an example Valgrind tool
==2476== Copyright (C) 2002-2013, and GNU GPL'd, by Nicholas Nethercote.
==2476== Using Valgrind-3.10.1 and LibVEX; rerun with -h for copyright info
==2476== Command: ./FFT
==2476== 
I  040012d0,3
I  040012d3,5
 S ffeffff68,8
I  04004a70,1
 S ffeffff60,8
I  04004a71,3
I  04004a74,2
 S ffeffff58,8
I  04004a76,2
 S ffeffff50,8
I  04004a78,2
 S ffeffff48,8
I  04004a7a,2
 S ffeffff40,8
I  04004a7c,1
 S ffeffff38,8
I  04004a7d,3
I  04004a80,4
I  04004a84,2
I  04004a86,4
I  04004a8a,2
I  04004a8c,3
I  04004a8f,7
 L 04222e70,8
I  04004a96,7
 S 04222c98,8
I  04004a9d,7
I  04004aa4,3
I  04004aa7,7
 L 04223000,8
I  04004aae,3
I  04004ab1,7
 S 04223a08,8
I  04004ab8,7
 S 042239f8,8
I  04004abf,6
I  04004ac5,7
I  04004acc,10
I  04004ad6,10
I  04004ae0,5
I  04004ae5,6
I  04004aeb,6
I  04004af1,3
I  04004af4,3
I  04004af7,6
I  04004afd,5
I  04004b02,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223aa8,8
I  04004b13,4
I  04004b17,3
 L 04222e80,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223a58,8
I  04004b13,4
I  04004b17,3
 L 04222e90,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b25,3
I  04004b28,3
I  04004b2b,4
I  04004b2f,6
I  04004d30,3
I  04004d33,2
I  04004d35,3
I  04004d38,2
I  04004d58,3
I  04004d5b,3
I  04004d5e,4
I  04004d62,6
I  04004ec8,3
I  04004ecb,3
I  04004ece,4
I  04004ed2,6
I  04004ed8,3
I  04004edb,4
 S 04223c90,8
I  04004edf,5
I  04004b13,4
I  04004b17,3
 L 04222ea0,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223a60,8
I  04004b13,4
I  04004b17,3
 L 04222eb0,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223a68,8
I  04004b13,4
I  04004b17,3
 L 04222ec0,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223a88,8
I  04004b13,4
I  04004b17,3
 L 04222ed0,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223a90,8
I  04004b13,4
I  04004b17,3
 L 04222ee0,8
I  04004b1a,3
I  04004b1d,2
I  04004b1f,4
I  04004b23,2
I  04004b08,7
I  04004b0f,4
 S 04223a50,8
I  04004b13,4
I  04004b17,3
 L 04222ef0,8
I  04004b1a,3
I  04004b1d,2
